Transaction ID,Transaction Price,datetime_column
7525,6.89,2018-01-01
8837,6.89,2018-01-01
11999,6.89,2018-01-01
7985,6.89,2018-01-01
10967,6.89,2018-01-01
1379,7.54,2018-01-01
2786,7.54,2018-01-01
3155,7.54,2018-01-01
6931,7.54,2018-01-01
7812,7.54,2018-01-01
9195,7.54,2018-01-01
11081,7.54,2018-01-01
11657,7.54,2018-01-01
13977,7.54,2018-01-01
16125,7.54,2018-01-01
5561,8.19,2018-01-01
16283,8.19,2018-01-01
16309,9.44,2018-01-01
8132,10.07,2018-01-01
10770,11.09,2018-01-01
340,11.49,2018-01-01
3266,11.49,2018-01-01
675,11.92,2018-01-01
2380,11.92,2018-01-01
5976,11.92,2018-01-01
6890,11.92,2018-01-01
11419,11.92,2018-01-01
3278,11.96,2018-01-01
6474,11.96,2018-01-01
8694,11.96,2018-01-01
15211,12.27,2018-01-01
7410,12.29,2018-01-01
14307,13.18,2018-01-01
14794,13.51,2018-01-01
15960,13.51,2018-01-01
3694,13.75,2018-01-01
9072,14.08,2018-01-01
18016,14.08,2018-01-01
546,14.08,2018-01-01
10445,14.08,2018-01-01
1354,14.08,2018-01-01
6569,14.08,2018-01-01
8947,14.08,2018-01-01
3831,14.08,2018-01-01
64,14.08,2018-01-01
10855,14.08,2018-01-01
14743,14.08,2018-01-01
8887,14.08,2018-01-01
9392,14.08,2018-01-01
17343,14.08,2018-01-01
13373,14.1,2018-01-01
15576,14.13,2018-01-01
15076,14.29,2018-01-01
17751,14.29,2018-01-01
10688,14.29,2018-01-01
11276,14.29,2018-01-01
16580,14.29,2018-01-01
17413,14.29,2018-01-01
310,14.31,2018-01-01
11849,14.31,2018-01-01
13941,14.31,2018-01-01
15700,14.31,2018-01-01
16660,14.31,2018-01-01
16707,14.31,2018-01-01
14117,14.31,2018-01-01
4616,14.52,2018-01-01
3545,14.52,2018-01-01
3668,14.52,2018-01-01
4460,14.52,2018-01-01
5003,14.52,2018-01-01
8533,14.52,2018-01-01
10357,14.52,2018-01-01
11147,14.52,2018-01-01
12307,14.52,2018-01-01
1995,14.52,2018-01-01
11108,14.52,2018-01-01
11960,14.52,2018-01-01
12207,14.52,2018-01-01
13272,14.52,2018-01-01
5742,14.58,2018-01-01
14405,14.88,2018-01-01
361,14.89,2018-01-01
12846,14.89,2018-01-01
11428,15.08,2018-01-01
27,15.08,2018-01-01
286,15.08,2018-01-01
985,15.08,2018-01-01
9895,15.08,2018-01-01
11190,15.08,2018-01-01
15905,15.08,2018-01-01
16835,15.08,2018-01-01
16872,15.13,2018-01-01
1950,15.25,2018-01-01
75,15.25,2018-01-01
6584,15.25,2018-01-01
611,15.27,2018-01-01
3637,15.27,2018-01-01
3727,15.27,2018-01-01
16625,15.27,2018-01-01
1333,15.27,2018-01-01
1506,15.27,2018-01-01
11063,15.27,2018-01-01
16099,15.27,2018-01-01
16370,15.27,2018-01-01
16641,15.27,2018-01-01
2351,15.27,2018-01-01
5430,15.27,2018-01-01
6128,15.27,2018-01-01
9490,15.27,2018-01-01
9779,15.27,2018-01-01
